problem_type	constraint_class	instance	source_file
LP	general	test_DualObjectiveValue_Max_ScalarAffine_LessThan	test_solve.jl
LP	bound-constrained	test_DualObjectiveValue_Max_VariableIndex_LessThan	test_solve.jl
LP	general	test_DualObjectiveValue_Min_ScalarAffine_GreaterThan	test_solve.jl
LP	bound-constrained	test_DualObjectiveValue_Min_VariableIndex_GreaterThan	test_solve.jl
NLP	general	test_HermitianPSDCone_basic	test_solve.jl
NLP	general	test_HermitianPSDCone_min_t	test_solve.jl
NLP	general	test_NormNuclearCone_VectorAffineFunction_with_transform	test_solve.jl
NLP	general	test_NormNuclearCone_VectorAffineFunction_without_transform	test_solve.jl
NLP	general	test_NormNuclearCone_VectorOfVariables_with_transform	test_solve.jl
NLP	general	test_NormNuclearCone_VectorOfVariables_without_transform	test_solve.jl
NLP	general	test_NormSpectralCone_VectorAffineFunction_with_transform	test_solve.jl
NLP	general	test_NormSpectralCone_VectorAffineFunction_without_transform	test_solve.jl
NLP	general	test_NormSpectralCone_VectorOfVariables_with_transform	test_solve.jl
NLP	general	test_NormSpectralCone_VectorOfVariables_without_transform	test_solve.jl
NLP	general	test_VectorNonlinearOracle_LagrangeMultipliers_MAX_SENSE	test_nonlinear.jl
NLP	general	test_VectorNonlinearOracle_LagrangeMultipliers_MIN_SENSE	test_nonlinear.jl
NLP	general	test_add_constrained_PositiveSemidefiniteConeTriangle	test_conic.jl
NLP	general	test_add_constrained_PositiveSemidefiniteConeTriangle_VariableName	test_conic.jl
NLP	general	test_add_constrained_PositiveSemidefiniteConeTriangle_VariablePrimalStart	test_conic.jl
LP	bound-constrained	test_add_constrained_variables_vector	test_variable.jl
LP	equality	test_basic_ScalarAffineFunction_EqualTo	(auto-generated test_basic_*)
LP	general	test_basic_ScalarAffineFunction_GreaterThan	(auto-generated test_basic_*)
LP	general	test_basic_ScalarAffineFunction_Interval	(auto-generated test_basic_*)
LP	general	test_basic_ScalarAffineFunction_LessThan	(auto-generated test_basic_*)
NLP	equality	test_basic_ScalarNonlinearFunction_EqualTo	(auto-generated test_basic_*)
NLP	general	test_basic_ScalarNonlinearFunction_GreaterThan	(auto-generated test_basic_*)
NLP	general	test_basic_ScalarNonlinearFunction_Interval	(auto-generated test_basic_*)
NLP	general	test_basic_ScalarNonlinearFunction_LessThan	(auto-generated test_basic_*)
NLP	equality	test_basic_ScalarQuadraticFunction_EqualTo	(auto-generated test_basic_*)
NLP	general	test_basic_ScalarQuadraticFunction_GreaterThan	(auto-generated test_basic_*)
NLP	general	test_basic_ScalarQuadraticFunction_Interval	(auto-generated test_basic_*)
NLP	general	test_basic_ScalarQuadraticFunction_LessThan	(auto-generated test_basic_*)
LP	bound-constrained	test_basic_VariableIndex_EqualTo	(auto-generated test_basic_*)
LP	bound-constrained	test_basic_VariableIndex_GreaterThan	(auto-generated test_basic_*)
LP	bound-constrained	test_basic_VariableIndex_Interval	(auto-generated test_basic_*)
LP	bound-constrained	test_basic_VariableIndex_LessThan	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_AllDifferent	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_BinPacking	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_Circuit	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_Complements	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_CountAtLeast	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_CountBelongs	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_CountDistinct	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_CountGreaterThan	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_Cumulative	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_DualExponentialCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_DualPowerCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_ExponentialCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_GeometricMeanCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_HermitianPositiveSemidefiniteConeTriangle	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_HyperRectangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_LogDetConeSquare	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_LogDetConeTriangle	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_Nonnegatives	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_Nonpositives	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_NormCone	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_NormInfinityCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_NormNuclearCone	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_NormOneCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_NormSpectralCone	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_Path	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_PositiveSemidefiniteConeSquare	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_PositiveSemidefiniteConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_PowerCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_RelativeEntropyCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_RootDetConeSquare	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_RootDetConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_RotatedSecondOrderCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_ScaledPositiveSemidefiniteConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_SecondOrderCone	(auto-generated test_basic_*)
LP	general	test_basic_VectorAffineFunction_Table	(auto-generated test_basic_*)
NLP	general	test_basic_VectorAffineFunction_VectorNonlinearOracle	(auto-generated test_basic_*)
LP	equality	test_basic_VectorAffineFunction_Zeros	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_AllDifferent	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_BinPacking	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_Circuit	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_Complements	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_CountAtLeast	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_CountBelongs	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_CountDistinct	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_CountGreaterThan	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_Cumulative	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_DualExponentialCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_DualPowerCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_ExponentialCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_GeometricMeanCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_HermitianPositiveSemidefiniteConeTriangle	(auto-generated test_basic_*)
LP	bound-constrained	test_basic_VectorOfVariables_HyperRectangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_LogDetConeSquare	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_LogDetConeTriangle	(auto-generated test_basic_*)
LP	bound-constrained	test_basic_VectorOfVariables_Nonnegatives	(auto-generated test_basic_*)
LP	bound-constrained	test_basic_VectorOfVariables_Nonpositives	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_NormCone	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_NormInfinityCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_NormNuclearCone	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_NormOneCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_NormSpectralCone	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_Path	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_PositiveSemidefiniteConeSquare	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_PositiveSemidefiniteConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_PowerCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_RelativeEntropyCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_RootDetConeSquare	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_RootDetConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_RotatedSecondOrderCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_ScaledPositiveSemidefiniteConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_SecondOrderCone	(auto-generated test_basic_*)
LP	general	test_basic_VectorOfVariables_Table	(auto-generated test_basic_*)
NLP	general	test_basic_VectorOfVariables_VectorNonlinearOracle	(auto-generated test_basic_*)
LP	bound-constrained	test_basic_VectorOfVariables_Zeros	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_AllDifferent	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_BinPacking	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_Circuit	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_Complements	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_CountAtLeast	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_CountBelongs	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_CountDistinct	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_CountGreaterThan	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_Cumulative	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_DualExponentialCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_DualPowerCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_ExponentialCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_GeometricMeanCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_HermitianPositiveSemidefiniteConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_HyperRectangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_LogDetConeSquare	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_LogDetConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_Nonnegatives	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_Nonpositives	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_NormCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_NormInfinityCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_NormNuclearCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_NormOneCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_NormSpectralCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_Path	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_PositiveSemidefiniteConeSquare	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_PositiveSemidefiniteConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_PowerCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_RelativeEntropyCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_RootDetConeSquare	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_RootDetConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_RotatedSecondOrderCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_ScaledPositiveSemidefiniteConeTriangle	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_SecondOrderCone	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_Table	(auto-generated test_basic_*)
NLP	general	test_basic_VectorQuadraticFunction_VectorNonlinearOracle	(auto-generated test_basic_*)
NLP	equality	test_basic_VectorQuadraticFunction_Zeros	(auto-generated test_basic_*)
NLP	general	test_conic_DualExponentialCone_VectorAffineFunction	test_conic.jl
NLP	general	test_conic_DualExponentialCone_VectorOfVariables	test_conic.jl
NLP	general	test_conic_DualPowerCone_VectorAffineFunction	test_conic.jl
NLP	general	test_conic_DualPowerCone_VectorOfVariables	test_conic.jl
NLP	general	test_conic_Exponential_VectorAffineFunction	test_conic.jl
NLP	general	test_conic_Exponential_VectorOfVariables	test_conic.jl
NLP	general	test_conic_Exponential_hard	test_conic.jl
NLP	general	test_conic_Exponential_hard_2	test_conic.jl
NLP	general	test_conic_GeometricMeanCone_VectorAffineFunction	test_conic.jl
NLP	general	test_conic_GeometricMeanCone_VectorAffineFunction_2	test_conic.jl
NLP	general	test_conic_GeometricMeanCone_VectorAffineFunction_3	test_conic.jl
NLP	general	test_conic_GeometricMeanCone_VectorOfVariables	test_conic.jl
NLP	general	test_conic_GeometricMeanCone_VectorOfVariables_2	test_conic.jl
NLP	general	test_conic_GeometricMeanCone_VectorOfVariables_3	test_conic.jl
NLP	general	test_conic_HermitianPositiveSemidefiniteConeTriangle_1	test_conic.jl
NLP	general	test_conic_HermitianPositiveSemidefiniteConeTriangle_2	test_conic.jl
NLP	general	test_conic_LogDetConeSquare	test_conic.jl
NLP	general	test_conic_LogDetConeSquare_VectorAffineFunction	test_conic.jl
NLP	general	test_conic_LogDetConeSquare_VectorOfVariables	test_conic.jl
NLP	general	test_conic_LogDetConeTriangle	test_conic.jl
NLP	general	test_conic_LogDetConeTriangle_VectorAffineFunction	test_conic.jl
NLP	general	test_conic_LogDetConeTriangle_VectorOfVariables	test_conic.jl
NLP	general	test_conic_NormCone	test_conic.jl
LP	general	test_conic_NormInfinityCone_3	test_conic.jl
LP	general	test_conic_NormInfinityCone_INFEASIBLE	test_conic.jl
LP	general	test_conic_NormInfinityCone_VectorAffineFunction	test_conic.jl
LP	general	test_conic_NormInfinityCone_VectorOfVariables	test_conic.jl
NLP	general	test_conic_NormNuclearCone	test_conic.jl
NLP	general	test_conic_NormNuclearCone_2	test_conic.jl
LP	general	test_conic_NormOneCone	test_conic.jl
LP	general	test_conic_NormOneCone_INFEASIBLE	test_conic.jl
LP	general	test_conic_NormOneCone_VectorAffineFunction	test_conic.jl
LP	general	test_conic_NormOneCone_VectorOfVariables	test_conic.jl
NLP	general	test_conic_NormSpectralCone	test_conic.jl
NLP	general	test_conic_NormSpectralCone_2	test_conic.jl
NLP	general	test_conic_PositiveSemidefiniteConeSquare_3	test_conic.jl
